4493
1107	1136
3048	3969
3012	1484
3243	3220
2259	3319
3450	652
1728	2652
1585	2245
1833	2939
1632	1792
2244	457
1106	1115
2255	3787
1274	1765
1878	489
1392	2164
2585	2024
3535	1646
3993	2633
2259	637
870	683
2799	2979
31	2259
3191	2685
2467	2836
4229	1176
2556	2453
2157	1894
4223	3611
3677	3906
3525	2773
2259	1174
4198	3611
729	2742
1920	3899
1342	1696
3450	3392
3868	3624
1438	1419
1920	1414
3171	818
2911	2395
1687	1792
1046	904
2444	2603
3178	1562
4428	1131
1585	3118
2864	818
2260	923
2255	3343
1046	2071
1381	4304
2372	2309
2266	1792
3315	1799
2045	4265
866	3403
2260	2366
2840	1999
1878	3376
1046	3762
2691	2460
1040	1652
3241	3077
1211	297
426	4131
2260	4305
2259	1746
1536	1184
2833	1767
3020	2471
500	2260
2187	942
1399	1793
3212	2685
1667	1767
3280	2803
3333	3959
4429	2730
1690	1804
1920	3010
3354	2662
159	2560
2265	86
1381	2303
806	1053
3196	139
2548	2047
1878	1361
818	1947
3809	1828
3237	1843
923	2599
1736	4477
3116	4252
3616	3959
1138	3959
2684	3229
2260	3733
1878	2715
2259	1806
4399	1788
2019	4479
3052	945
4284	1632
3401	3992
2259	2475
256	258
1874	2346
3498	4479
2244	2821
1920	2574
1406	3747
4004	2224
2187	2071
4163	3634
3615	2573
505	2260
991	2460
3953	3461
1878	696
2418	3407
3290	695
1991	635
1313	112
321	2450
3607	3310
2260	3145
715	1646
2259	330
3017	2510
1948	2793
1175	3959
3141	2573
2102	2419
3020	2770
1438	2271
2259	3072
2045	1328
1991	2650
3332	1381
1046	731
4038	2655
3394	3114
1878	100
2686	976
206	1663
1400	1170
4301	2542
1106	4248
2443	2467
2259	1059
401	4023
3729	2381
2798	456
1211	2435
3275	1107
3536	1873
2004	2252
2325	1632
3490	2450
2775	1692
3460	2862
1392	1792
2259	4313
4470	1437
2187	2872
1971	1578
2260	558
2217	4429
1077	2587
634	3959
2993	1972
3562	1711
820	3047
4211	3724
1773	2419
612	2369
2447	4411
1040	74
1617	3996
4069	1617
2832	3933
1438	3159
2259	2296
4429	3039
66	3908
1331	4178
3782	1865
1241	4304
3450	302
1860	883
1192	3307
1928	4427
1438	425
3994	3401
1700	2224
3991	2819
563	2649
2541	519
1878	907
3869	1788
3993	3243
2255	1922
1878	2326
842	967
818	4453
4020	1952
2467	2226
1483	1646
2018	1273
1574	3003
3343	3246
976	3768
2259	2356
1400	3392
897	1643
2040	2121
2380	3669
119	2460
2633	3395
3128	3130
4090	4075
1760	2103
2239	1576
1878	311
1231	4387
121	1669
1133	260
2035	2692
1726	2103
3334	1717
3315	1381
1878	2258
522	1313
1711	3305
2259	727
1903	1669
448	450
1121	1333
2259	2928
566	4282
4282	2300
2503	1669
1991	3434
1405	4345
1402	3053
1175	2733
3376	2573
4429	2252
1809	1459
1574	137
3115	2024
2823	1595
1074	2171
1383	2503
2991	1793
